Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.java,ModernGraphStructureStandardTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.java,ModernGraphStructureStandardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.java,ModernGraphStructurePerformanceTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.java,ModernGraphStructurePerformanceTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.java,ModernGraphGroovyEnvironmentTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.java,ModernGraphGroovyEnvironmentTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphGraphProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler,ModernGraphQueryHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.groovy,ModernGraphGroovyProcessStandardTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.groovy,ModernGraphGroovyProcessStandardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.groovy,ModernGraphProcessStandardTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.groovy,ModernGraphProcessStandardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.groovy,ModernGraphGroovyEnvironmentIntegrateTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.starQueryHandler.groovy,ModernGraphGroovyEnvironmentIntegrateTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.java,ElasticGraphProcessStandardTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.java,ElasticGraphProcessStandardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.java,ElasticGraphStructurePerformanceTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.java,ElasticGraphStructurePerformanceTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.java,ElasticGraphStructureStandardTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.java,ElasticGraphStructureStandardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.groovy,ElasticGraphGroovyEnvironmentIntegrateTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.groovy,ElasticGraphGroovyEnvironmentIntegrateTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.groovy,ElasticGraphGroovyEnvironmentTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.groovy,ElasticGraphGroovyEnvironmentTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.groovy,ElasticGraphGroovyProcessStandardTest,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
rmagen_elastic-gremlin,org.elasticgremlin.simpleQueryHandler.groovy,ElasticGraphGroovyProcessStandardTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.groovy.plugin,ElasticGraphGremlinPlugin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.structure,ElasticGraph,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ElasticGraph; QueryHandler
rmagen_elastic-gremlin,org.elasticgremlin.structure,BaseEdge,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.structure,BaseVertexProperty,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: BaseVertex; BaseVertexProperty
rmagen_elastic-gremlin,org.elasticgremlin.structure,ElasticFeatures,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 46 public methods
rmagen_elastic-gremlin,org.elasticgremlin.structure,BaseVertex,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
rmagen_elastic-gremlin,org.elasticgremlin.process.optimize,ElasticVertexStep,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.process.optimize,ElasticGraphStep,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.virtualvertex,VirtualVertexHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler,QueryHandler,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: ElasticGraph; QueryHandler
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler,Predicates,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: hasContainers; limitLow; limitHigh; labels
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler,SimpleQueryHandler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.stardoc,StarHandler,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: StarVertex; StarHandler
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.stardoc,BasicEdgeMapping,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,ElasticClientFactory,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TRANSPORT_CLIENT; NODE_CLIENT; NODE
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,ClientType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: TRANSPORT_CLIENT; NODE_CLIENT; NODE
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,ClientType,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TRANSPORT_CLIENT; NODE_CLIENT; NODE
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,QueryIterator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.helpers,LazyGetter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
rmagen_elastic-gremlin,org.elasticgremlin.queryhandler.elasticsearch.edgedoc,DocEdge,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: OutId; OutLabel; InId; InLabel; elasticMutations; indexName
